id,name,area,dazhihui,eastmoney,jinrongjie,jinrongjie_score,tonghuashun
000679,*ST友谊,SZ,5.4,47.79,21.02,57.28,4.2
000680,山推股份,SZ,6.9,69.54,20.0,59.26,5.2
000681,视觉中国,SZ,7.9,66.28,50.48,48.66,7.2
000682,东方电子,SZ,7.0,73.35,80.28,62.12,5.9
000683,远兴能源,SZ,6.8,64.63,20.88,72.03,5.1
000685,中山公用,SZ,7.5,61.41,97.8,66.20,6.2
000686,东北证券,SZ,7.2,71.8,32.54,63.29,4.8
000687,华讯方舟,SZ,6.3,52.87,21.43,56.58,5.0
000688,国城矿业,SZ,6.2,58.82,24.49,62.95,4.9
000690,宝新能源,SZ,7.7,67.7,20.04,72.46,5.3
000691,亚太实业,SZ,7.1,57.47,48.28,65.13,5.8
000692,惠天热电,SZ,6.0,59.51,21.08,64.42,4.7
000695,滨海能源,SZ,4.8,57.58,20.0,68.10,4.4
000697,炼石航空,SZ,5.9,59.24,20.01,55.23,4.7
000698,沈阳化工,SZ,5.4,59.2,21.63,56.97,3.9
000700,模塑科技,SZ,6.4,54.56,38.31,74.14,4.5
000701,厦门信达,SZ,5.8,62.82,20.04,68.27,4.8
000702,正虹科技,SZ,5.2,56.98,24.74,60.98,4.2
000703,恒逸石化,SZ,7.6,80.83,90.82,58.16,6.8
000705,浙江震元,SZ,6.0,63.68,20.02,54.78,4.7
000707,ST双环,SZ,5.2,55.08,21.84,51.40,4.2
000708,中信特钢,SZ,7.3,70.51,79.34,64.04,6.4
000709,河钢股份,SZ,7.0,65.51,20.5,60.95,4.5
000710,贝瑞基因,SZ,6.4,62.47,58.28,58.76,5.5
000711,京蓝科技,SZ,6.5,57.57,20.04,50.98,4.7
000712,锦龙股份,SZ,6.0,62.74,21.31,50.87,4.5
000713,丰乐种业,SZ,6.2,55.73,49.48,52.19,6.1
000715,中兴商业,SZ,6.0,60.06,20.04,66.99,4.5
000716,黑芝麻,SZ,5.3,51.71,30.69,61.74,4.3
000717,韶钢松山,SZ,6.9,72.48,20.03,48.77,5.1
000718,苏宁环球,SZ,7.6,71.04,53.55,71.25,6.7
000719,中原传媒,SZ,7.5,71.96,61.4,60.80,6.1
000720,新能泰山,SZ,6.7,70.19,30.59,54.20,5.3
000721,西安饮食,SZ,6.1,58.03,32.13,63.11,5.0
000722,湖南发展,SZ,7.2,66.15,23.95,76.13,5.1
000723,美锦能源,SZ,6.6,61.12,20.59,58.99,4.3
000725,京东方A,SZ,7.1,68.04,23.01,40.78,5.8
000726,鲁泰A,SZ,7.5,62.99,20.0,69.77,4.6
000727,*ST东科,SZ,6.3,57.91,20.43,49.13,4.4
000728,国元证券,SZ,7.3,74.23,20.55,62.56,5.0
000729,燕京啤酒,SZ,6.7,66.67,20.0,70.70,6.3
000731,四川美丰,SZ,7.7,62.16,20.0,58.90,5.2
000732,泰禾集团,SZ,6.6,50.2,20.01,57.35,3.9
000733,振华科技,SZ,7.9,71.96,34.0,60.93,5.5
000735,罗牛山,SZ,7.0,60.05,21.94,49.19,4.7
000736,中交地产,SZ,6.5,68.08,34.59,72.75,5.0
000737,ST南风,SZ,6.2,63.37,20.97,65.53,4.7
000738,航发控制,SZ,8.2,74.74,82.59,50.70,6.4
000739,普洛药业,SZ,5.6,72.74,20.19,45.39,5.8
000750,国海证券,SZ,7.4,72.52,22.43,55.82,5.1
000751,锌业股份,SZ,6.1,64.72,24.65,73.09,5.0
000752,*ST西发,SZ,6.8,59.25,20.18,61.79,5.0
000753,漳州发展,SZ,6.5,66.63,20.0,79.29,5.3
000755,山西路桥,SZ,4.8,54.98,24.87,70.88,4.6
000756,新华制药,SZ,5.8,59.42,20.03,56.10,5.4
000757,浩物股份,SZ,5.9,55.66,20.18,61.55,4.5
000758,中色股份,SZ,7.1,58.79,20.56,62.37,4.9
000759,中百集团,SZ,6.1,66.01,20.41,63.04,5.4
